OrderDate,OrderNumber,OrderLineItem,ProductSold,SoldTo,SoldIn,OrderQuantity,SoldBy,Shipping_Type,Order_Status
4/5/2017,SO67694,1,605,12754,7,1,284,Self Pickup,ok
4/5/2017,SO67666,1,478,23327,7,2,284,Self Pickup,ok
4/5/2017,SO67695,3,477,29357,7,2,284,Self Pickup,ok
4/5/2017,SO67663,1,536,24222,6,2,284,Self Pickup,ok
4/5/2017,SO67677,3,220,24845,6,1,284,Self Pickup,ok
4/5/2017,SO67665,2,478,12964,6,1,284,Self Pickup,ok
4/5/2017,SO67657,1,529,27395,6,2,283,Self Pickup,ok
4/5/2017,SO67655,2,538,11784,6,2,283,Self Pickup,ok
4/5/2017,SO67672,1,539,17106,6,1,282,Self Pickup,ok
4/6/2017,SO67712,4,229,13474,4,1,293,Delivery Truck,missing
4/6/2017,SO67748,3,479,21897,4,2,293,Delivery Truck,missing
4/6/2017,SO67753,2,220,25986,4,1,293,Delivery Truck,ok
4/6/2017,SO67717,1,478,21247,4,2,292,Delivery Truck,refunded
4/6/2017,SO67746,4,464,26566,4,2,292,Delivery Truck,ok
4/6/2017,SO67718,1,475,20020,1,1,292,Delivery Truck,ok
4/6/2017,SO67755,4,480,23454,1,2,292,Delivery Truck,ok
4/6/2017,SO67721,2,223,24625,4,2,292,Delivery Truck,ok
4/6/2017,SO67751,1,574,27294,4,1,287,Delivery Truck,ok
4/6/2017,SO67698,2,539,17350,9,1,287,Delivery Truck,refunded
4/6/2017,SO67752,2,215,25977,9,1,287,Delivery Truck,ok
4/6/2017,SO67730,1,485,18541,9,2,286,Delivery Truck,ok
4/6/2017,SO67761,1,604,13770,9,1,285,Delivery Truck,missing
4/6/2017,SO67752,1,578,25977,9,1,285,Delivery Truck,ok
4/6/2017,SO67725,3,480,19907,4,2,282,Delivery Truck,ok
4/6/2017,SO67726,1,535,17636,4,2,281,Delivery Truck,ok
4/6/2017,SO67712,2,540,13474,4,1,293,Express Air,ok
4/6/2017,SO67726,2,528,17636,6,2,293,Express Air,ok
4/6/2017,SO67725,2,535,19907,6,2,292,Express Air,ok
4/6/2017,SO67737,3,537,16854,4,1,292,Express Air,ok
4/6/2017,SO67697,1,528,15263,8,2,295,Regular Air,ok
4/6/2017,SO67729,1,485,15571,8,1,292,Regular Air,unknown
4/6/2017,SO67706,1,489,11697,9,1,292,Regular Air,ok
4/6/2017,SO67701,1,479,19972,9,2,292,Regular Air,ok
4/6/2017,SO67744,1,385,17920,7,1,287,Regular Air,ok
4/6/2017,SO67744,2,214,17920,7,1,284,Regular Air,ok
4/6/2017,SO67714,2,477,20692,7,2,282,Regular Air,ok
4/6/2017,SO67698,1,529,17350,1,2,296,Self Pickup,ok
4/6/2017,SO67698,3,472,17350,9,1,296,Self Pickup,ok
4/6/2017,SO67756,3,477,23723,9,2,296,Self Pickup,ok
4/6/2017,SO67727,1,530,18165,6,2,296,Self Pickup,ok
4/6/2017,SO67737,2,528,16854,9,2,296,Self Pickup,ok
4/6/2017,SO67747,2,529,26745,9,3,296,Self Pickup,ok
4/6/2017,SO67734,2,485,16869,9,3,296,Self Pickup,ok
4/6/2017,SO67716,2,477,20443,9,2,295,Self Pickup,ok
4/6/2017,SO67763,2,220,24698,9,1,295,Self Pickup,ok
4/6/2017,SO67699,2,481,13954,9,1,295,Self Pickup,ok
4/6/2017,SO67738,5,232,16867,9,1,295,Self Pickup,ok
4/6/2017,SO67715,3,489,20633,9,1,295,Self Pickup,ok
4/6/2017,SO67703,1,362,19067,9,1,295,Self Pickup,ok
4/6/2017,SO67739,3,220,12949,4,1,295,Self Pickup,ok
4/6/2017,SO67697,2,536,15263,4,2,295,Self Pickup,ok
4/6/2017,SO67731,1,223,12638,6,2,295,Self Pickup,ok
4/6/2017,SO67740,2,480,16145,6,2,295,Self Pickup,ok
4/6/2017,SO67713,2,478,16479,6,2,295,Self Pickup,ok
